"Statistic Label","Year","Sex","NACE Rev 2 Sector","Age Group","UNIT","VALUE"
"Median Annual Earnings","2018","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","55888"
"Median Annual Earnings","2018","Male","Professional, scientific and technical activities (M)","15 years and over","€","46666"
"Median Annual Earnings","2018","Male","Administrative and support service activities (N)","15 years and over","€","31011"
"Median Annual Earnings","2018","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","49163"
"Median Annual Earnings","2018","Male","Education (P)","15 years and over","€","53946"
"Median Annual Earnings","2018","Male","Human health and social work activities (Q)","15 years and over","€","37809"
"Median Annual Earnings","2018","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26568"
"Median Annual Earnings","2018","Male","All NACE economic sectors","15 years and over","€","39279"
"Median Annual Earnings","2018","Female","Industry (B to E)","15 years and over","€","35633"
"Median Annual Earnings","2018","Female","Construction (F)","15 years and over","€","24170"
"Median Annual Earnings","2018","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","21460"
"Median Annual Earnings","2018","Female","Transportation and storage (H)","15 years and over","€","31923"
"Median Annual Earnings","2018","Female","Accommodation and food service activities (I)","15 years and over","€","17890"
"Median Annual Earnings","2018","Female","Information and communication (J)","15 years and over","€","46666"
"Median Annual Earnings","2018","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","40118"
"Median Annual Earnings","2018","Female","Professional, scientific and technical activities (M)","15 years and over","€","33805"
"Median Annual Earnings","2018","Female","Administrative and support service activities (N)","15 years and over","€","23824"
"Median Annual Earnings","2018","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","42460"
"Median Annual Earnings","2018","Female","Education (P)","15 years and over","€","44614"
"Median Annual Earnings","2018","Female","Human health and social work activities (Q)","15 years and over","€","34546"
"Median Annual Earnings","2018","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","19367"
"Median Annual Earnings","2018","Female","All NACE economic sectors","15 years and over","€","32014"
"Median Annual Earnings","2019","Both sexes","Industry (B to E)","15 years and over","€","41654"
"Median Annual Earnings","2019","Both sexes","Construction (F)","15 years and over","€","37502"
"Median Annual Earnings","2019","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","27442"
"Median Annual Earnings","2019","Both sexes","Transportation and storage (H)","15 years and over","€","38693"
"Median Annual Earnings","2019","Both sexes","Accommodation and food service activities (I)","15 years and over","€","20576"
"Median Annual Earnings","2019","Both sexes","Information and communication (J)","15 years and over","€","58000"
"Median Annual Earnings","2019","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","47776"
"Median Annual Earnings","2019","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","41667"
"Median Annual Earnings","2019","Both sexes","Administrative and support service activities (N)","15 years and over","€","30418"
"Median Annual Earnings","2019","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","47232"
"Median Annual Earnings","2019","Both sexes","Education (P)","15 years and over","€","47754"
"Median Annual Earnings","2019","Both sexes","Human health and social work activities (Q)","15 years and over","€","36106"
"Median Annual Earnings","2019","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","22800"
"Median Annual Earnings","2019","Both sexes","All NACE economic sectors","15 years and over","€","37001"
"Median Annual Earnings","2019","Male","Industry (B to E)","15 years and over","€","43695"
"Median Annual Earnings","2019","Male","Construction (F)","15 years and over","€","39105"
"Median Annual Earnings","2019","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","32231"
"Median Annual Earnings","2019","Male","Transportation and storage (H)","15 years and over","€","40348"
"Median Annual Earnings","2019","Male","Accommodation and food service activities (I)","15 years and over","€","23393"
"Median Annual Earnings","2019","Male","Information and communication (J)","15 years and over","€","63488"
"Median Annual Earnings","2019","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","57941"
"Median Annual Earnings","2019","Male","Professional, scientific and technical activities (M)","15 years and over","€","48963"
"Median Annual Earnings","2019","Male","Administrative and support service activities (N)","15 years and over","€","32916"
"Median Annual Earnings","2019","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","50263"
"Median Annual Earnings","2019","Male","Education (P)","15 years and over","€","54928"
"Median Annual Earnings","2019","Male","Human health and social work activities (Q)","15 years and over","€","38576"
"Median Annual Earnings","2019","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","27725"
"Median Annual Earnings","2019","Male","All NACE economic sectors","15 years and over","€","40517"
"Median Annual Earnings","2019","Female","Industry (B to E)","15 years and over","€","36542"
"Median Annual Earnings","2019","Female","Construction (F)","15 years and over","€","25341"
"Median Annual Earnings","2019","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","22381"
"Median Annual Earnings","2019","Female","Transportation and storage (H)","15 years and over","€","33721"
"Median Annual Earnings","2019","Female","Accommodation and food service activities (I)","15 years and over","€","18318"
"Median Annual Earnings","2019","Female","Information and communication (J)","15 years and over","€","48041"
"Median Annual Earnings","2019","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","41446"
"Median Annual Earnings","2019","Female","Professional, scientific and technical activities (M)","15 years and over","€","35500"
"Median Annual Earnings","2019","Female","Administrative and support service activities (N)","15 years and over","€","25772"
"Median Annual Earnings","2019","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","43516"
"Median Annual Earnings","2019","Female","Education (P)","15 years and over","€","44867"
"Median Annual Earnings","2019","Female","Human health and social work activities (Q)","15 years and over","€","35461"
"Median Annual Earnings","2019","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20085"
"Median Annual Earnings","2019","Female","All NACE economic sectors","15 years and over","€","33056"
"Median Annual Earnings","2020","Both sexes","Industry (B to E)","15 years and over","€","44584"
"Median Annual Earnings","2020","Both sexes","Construction (F)","15 years and over","€","40601"
"Median Annual Earnings","2020","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","29539"
"Median Annual Earnings","2020","Both sexes","Transportation and storage (H)","15 years and over","€","39548"
"Median Annual Earnings","2020","Both sexes","Accommodation and food service activities (I)","15 years and over","€","24298"
"Median Annual Earnings","2020","Both sexes","Information and communication (J)","15 years and over","€","61632"
"Median Annual Earnings","2020","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","50305"
"Median Annual Earnings","2020","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","43311"
"Median Annual Earnings","2020","Both sexes","Administrative and support service activities (N)","15 years and over","€","31594"
"Median Annual Earnings","2020","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","48212"
"Median Annual Earnings","2020","Both sexes","Education (P)","15 years and over","€","48664"
"Median Annual Earnings","2020","Both sexes","Human health and social work activities (Q)","15 years and over","€","38213"
"Median Annual Earnings","2020","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","28493"
"Median Annual Earnings","2020","Both sexes","All NACE economic sectors","15 years and over","€","40579"
"Median Annual Earnings","2020","Male","Industry (B to E)","15 years and over","€","46437"
"Median Annual Earnings","2020","Male","Construction (F)","15 years and over","€","42353"
"Median Annual Earnings","2020","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","33632"
"Median Annual Earnings","2020","Male","Transportation and storage (H)","15 years and over","€","41597"
"Median Annual Earnings","2020","Male","Accommodation and food service activities (I)","15 years and over","€","26252"
"Median Annual Earnings","2020","Male","Information and communication (J)","15 years and over","€","66436"
"Median Annual Earnings","2020","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","59941"
"Median Annual Earnings","2020","Male","Professional, scientific and technical activities (M)","15 years and over","€","50000"
"Median Annual Earnings","2020","Male","Administrative and support service activities (N)","15 years and over","€","33621"
"Median Annual Earnings","2020","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","51166"
"Median Annual Earnings","2020","Male","Education (P)","15 years and over","€","56278"
"Median Annual Earnings","2020","Male","Human health and social work activities (Q)","15 years and over","€","39885"
"Median Annual Earnings","2020","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","30808"
"Median Annual Earnings","2020","Male","All NACE economic sectors","15 years and over","€","44105"
"Median Annual Earnings","2020","Female","Industry (B to E)","15 years and over","€","40199"
"Median Annual Earnings","2020","Female","Construction (F)","15 years and over","€","29583"
"Median Annual Earnings","2020","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","24702"
"Median Annual Earnings","2020","Female","Transportation and storage (H)","15 years and over","€","32045"
"Median Annual Earnings","2020","Female","Accommodation and food service activities (I)","15 years and over","€","22228"
"Median Annual Earnings","2020","Female","Information and communication (J)","15 years and over","€","52725"
"Median Annual Earnings","2020","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","43833"
"Median Annual Earnings","2020","Female","Professional, scientific and technical activities (M)","15 years and over","€","37547"
"Median Annual Earnings","2020","Female","Administrative and support service activities (N)","15 years and over","€","28092"
"Median Annual Earnings","2020","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","44503"
"Median Annual Earnings","2020","Female","Education (P)","15 years and over","€","45963"
"Median Annual Earnings","2020","Female","Human health and social work activities (Q)","15 years and over","€","37730"
"Median Annual Earnings","2020","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26444"
"Median Annual Earnings","2020","Female","All NACE economic sectors","15 years and over","€","37462"
"Median Annual Earnings","2021","Both sexes","Industry (B to E)","15 years and over","€","45804"
"Median Annual Earnings","2021","Both sexes","Construction (F)","15 years and over","€","41760"
"Median Annual Earnings","2021","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","30476"
"Median Annual Earnings","2021","Both sexes","Transportation and storage (H)","15 years and over","€","39972"
"Median Annual Earnings","2021","Both sexes","Accommodation and food service activities (I)","15 years and over","€","23795"
"Median Annual Earnings","2021","Both sexes","Information and communication (J)","15 years and over","€","66082"
"Median Annual Earnings","2021","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","52350"
"Median Annual Earnings","2021","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","45394"
"Median Annual Earnings","2021","Both sexes","Administrative and support service activities (N)","15 years and over","€","32618"
"Median Annual Earnings","2021","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","49507"
"Median Annual Earnings","2021","Both sexes","Education (P)","15 years and over","€","48791"
"Median Annual Earnings","2021","Both sexes","Human health and social work activities (Q)","15 years and over","€","38517"
"Median Annual Earnings","2021","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","28568"
"Median Annual Earnings","2021","Both sexes","All NACE economic sectors","15 years and over","€","41222"
"Median Annual Earnings","2021","Male","Industry (B to E)","15 years and over","€","47646"
"Median Annual Earnings","2021","Male","Construction (F)","15 years and over","€","43600"
"Median Annual Earnings","2021","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","34804"
"Median Annual Earnings","2021","Male","Transportation and storage (H)","15 years and over","€","41666"
"Median Annual Earnings","2021","Male","Accommodation and food service activities (I)","15 years and over","€","26224"
"Median Annual Earnings","2021","Male","Information and communication (J)","15 years and over","€","71271"
"Median Annual Earnings","2021","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","63000"
"Median Annual Earnings","2021","Male","Professional, scientific and technical activities (M)","15 years and over","€","52805"
"Median Annual Earnings","2021","Male","Administrative and support service activities (N)","15 years and over","€","34845"
"Median Annual Earnings","2021","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","52427"
"Median Annual Earnings","2021","Male","Education (P)","15 years and over","€","56517"
"Median Annual Earnings","2021","Male","Human health and social work activities (Q)","15 years and over","€","40003"
"Median Annual Earnings","2021","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","31596"
"Median Annual Earnings","2021","Male","All NACE economic sectors","15 years and over","€","44892"
"Median Annual Earnings","2021","Female","Industry (B to E)","15 years and over","€","41300"
"Median Annual Earnings","2021","Female","Construction (F)","15 years and over","€","30275"
"Median Annual Earnings","2021","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","25385"
"Median Annual Earnings","2021","Female","Transportation and storage (H)","15 years and over","€","33383"
"Median Annual Earnings","2021","Female","Accommodation and food service activities (I)","15 years and over","€","21556"
"Median Annual Earnings","2021","Female","Information and communication (J)","15 years and over","€","56012"
"Median Annual Earnings","2021","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","45420"
"Median Annual Earnings","2021","Female","Professional, scientific and technical activities (M)","15 years and over","€","38902"
"Median Annual Earnings","2021","Female","Administrative and support service activities (N)","15 years and over","€","28519"
"Median Annual Earnings","2021","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","46023"
"Median Annual Earnings","2021","Female","Education (P)","15 years and over","€","46304"
"Median Annual Earnings","2021","Female","Human health and social work activities (Q)","15 years and over","€","38087"
"Median Annual Earnings","2021","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26041"
"Median Annual Earnings","2021","Female","All NACE economic sectors","15 years and over","€","37894"
"Median Annual Earnings","2022","Both sexes","Industry (B to E)","15 years and over","€","46600"
"Median Annual Earnings","2022","Both sexes","Construction (F)","15 years and over","€","41003"
"Median Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","30660"
"Median Annual Earnings","2022","Both sexes","Transportation and storage (H)","15 years and over","€","41451"
"Median Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","15 years and over","€","24099"
"Median Annual Earnings","2022","Both sexes","Information and communication (J)","15 years and over","€","71494"
"Median Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","54999"
"Median Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","46674"
"Median Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","15 years and over","€","34377"
"Median Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","52459"
"Median Annual Earnings","2022","Both sexes","Education (P)","15 years and over","€","51692"
"Median Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","15 years and over","€","40285"
"Median Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25915"
"Median Annual Earnings","2022","Both sexes","All NACE economic sectors","15 years and over","€","41823"
"Median Annual Earnings","2022","Male","Industry (B to E)","15 years and over","€","48620"
"Median Annual Earnings","2022","Male","Construction (F)","15 years and over","€","42669"
"Median Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","35635"
"Median Annual Earnings","2022","Male","Transportation and storage (H)","15 years and over","€","42780"
"Median Annual Earnings","2022","Male","Accommodation and food service activities (I)","15 years and over","€","27161"
"Median Annual Earnings","2022","Male","Information and communication (J)","15 years and over","€","76775"
"Median Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","66572"
"Median Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","15 years and over","€","54339"
"Median Annual Earnings","2022","Male","Administrative and support service activities (N)","15 years and over","€","37171"
"Median Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","55186"
"Median Annual Earnings","2022","Male","Education (P)","15 years and over","€","59294"
"Median Annual Earnings","2022","Male","Human health and social work activities (Q)","15 years and over","€","42322"
"Median Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","30893"
"Median Annual Earnings","2022","Male","All NACE economic sectors","15 years and over","€","45537"
"Median Annual Earnings","2022","Female","Industry (B to E)","15 years and over","€","41726"
"Median Annual Earnings","2022","Female","Construction (F)","15 years and over","€","29112"
"Median Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","25256"
"Median Annual Earnings","2022","Female","Transportation and storage (H)","15 years and over","€","37000"
"Median Annual Earnings","2022","Female","Accommodation and food service activities (I)","15 years and over","€","21446"
"Median Annual Earnings","2022","Female","Information and communication (J)","15 years and over","€","61884"
"Median Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","47001"
"Median Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","15 years and over","€","40000"
"Median Annual Earnings","2022","Female","Administrative and support service activities (N)","15 years and over","€","29541"
"Median Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","48840"
"Median Annual Earnings","2022","Female","Education (P)","15 years and over","€","48555"
"Median Annual Earnings","2022","Female","Human health and social work activities (Q)","15 years and over","€","39829"
"Median Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","23174"
"Median Annual Earnings","2022","Female","All NACE economic sectors","15 years and over","€","37782"
"Median Annual Earnings","2023","Both sexes","Industry (B to E)","15 years and over","€","47808"
"Median Annual Earnings","2023","Both sexes","Construction (F)","15 years and over","€","42643"
"Median Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","31752"
"Median Annual Earnings","2023","Both sexes","Transportation and storage (H)","15 years and over","€","41609"
"Median Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","15 years and over","€","24464"
"Median Annual Earnings","2023","Both sexes","Information and communication (J)","15 years and over","€","76002"
"Median Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","56582"
"Median Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","49533"
"Median Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","15 years and over","€","35666"
"Median Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","54760"
"Median Annual Earnings","2023","Both sexes","Education (P)","15 years and over","€","53005"
"Median Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","15 years and over","€","42599"
"Median Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26811"
"Median Annual Earnings","2023","Both sexes","All NACE economic sectors","15 years and over","€","43221"
"Median Annual Earnings","2023","Male","Industry (B to E)","15 years and over","€","49814"
"Median Annual Earnings","2023","Male","Construction (F)","15 years and over","€","44500"
"Median Annual Earnings","2023","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","37058"
"Median Annual Earnings","2023","Male","Transportation and storage (H)","15 years and over","€","43159"
"Median Annual Earnings","2023","Male","Accommodation and food service activities (I)","15 years and over","€","27497"
"Median Annual Earnings","2023","Male","Information and communication (J)","15 years and over","€","81891"
"Median Annual Earnings","2023","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","68563"
"Median Annual Earnings","2023","Male","Professional, scientific and technical activities (M)","15 years and over","€","57800"
"Median Annual Earnings","2023","Male","Administrative and support service activities (N)","15 years and over","€","38848"
"Median Annual Earnings","2023","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","57937"
"Median Annual Earnings","2023","Male","Education (P)","15 years and over","€","61163"
"Median Annual Earnings","2023","Male","Human health and social work activities (Q)","15 years and over","€","45131"
"Median Annual Earnings","2023","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","32322"
"Median Annual Earnings","2023","Male","All NACE economic sectors","15 years and over","€","47187"
"Median Annual Earnings","2023","Female","Industry (B to E)","15 years and over","€","43066"
"Median Annual Earnings","2023","Female","Construction (F)","15 years and over","€","30347"
"Median Annual Earnings","2023","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","26336"
"Median Annual Earnings","2023","Female","Transportation and storage (H)","15 years and over","€","36640"
"Median Annual Earnings","2023","Female","Accommodation and food service activities (I)","15 years and over","€","21701"
"Median Annual Earnings","2023","Female","Information and communication (J)","15 years and over","€","65443"
"Median Annual Earnings","2023","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","48423"
"Median Annual Earnings","2023","Female","Professional, scientific and technical activities (M)","15 years and over","€","42283"
"Median Annual Earnings","2023","Female","Administrative and support service activities (N)","15 years and over","€","30390"
"Median Annual Earnings","2023","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","50872"
"Median Annual Earnings","2023","Female","Education (P)","15 years and over","€","49835"
"Median Annual Earnings","2023","Female","Human health and social work activities (Q)","15 years and over","€","41927"
"Median Annual Earnings","2023","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","23873"
"Median Annual Earnings","2023","Female","All NACE economic sectors","15 years and over","€","39039"
"Annual Change (Median Annual Earnings)","2011","Both sexes","Industry (B to E)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Construction (F)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Transportation and storage (H)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Accommodation and food service activities (I)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Information and communication (J)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Administrative and support service activities (N)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Education (P)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Human health and social work activities (Q)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Both sexes","All NACE economic sectors","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Industry (B to E)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Construction (F)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Transportation and storage (H)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Accommodation and food service activities (I)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Information and communication (J)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Professional, scientific and technical activities (M)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Administrative and support service activities (N)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Public administration and defence; compulsory social security (O)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Education (P)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Human health and social work activities (Q)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Male","All NACE economic sectors","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Industry (B to E)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Construction (F)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Transportation and storage (H)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Accommodation and food service activities (I)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Information and communication (J)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Financial, insurance and real estate activities (K,L)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Professional, scientific and technical activities (M)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Administrative and support service activities (N)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Public administration and defence; compulsory social security (O)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Education (P)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Human health and social work activities (Q)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2011","Female","All NACE economic sectors","15 years and over","%",""
"Annual Change (Median Annual Earnings)","2012","Both sexes","Industry (B to E)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Construction (F)","15 years and over","%","-1.9"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","0.2"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Transportation and storage (H)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Accommodation and food service activities (I)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Information and communication (J)","15 years and over","%","1.1"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","%","0.1"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Professional, scientific and technical activities (M)","15 years and over","%","-0.9"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Administrative and support service activities (N)","15 years and over","%","1.3"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","%","-0.2"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Education (P)","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Human health and social work activities (Q)","15 years and over","%","-1.1"
"Annual Change (Median Annual Earnings)","2012","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-2.4"
"Annual Change (Median Annual Earnings)","2012","Both sexes","All NACE economic sectors","15 years and over","%","-0.8"
"Annual Change (Median Annual Earnings)","2012","Male","Industry (B to E)","15 years and over","%","-0.6"
"Annual Change (Median Annual Earnings)","2012","Male","Construction (F)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2012","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","-0.2"
"Annual Change (Median Annual Earnings)","2012","Male","Transportation and storage (H)","15 years and over","%","-2.8"
"Annual Change (Median Annual Earnings)","2012","Male","Accommodation and food service activities (I)","15 years and over","%","-2.1"
"Annual Change (Median Annual Earnings)","2012","Male","Information and communication (J)","15 years and over","%","1"
"Annual Change (Median Annual Earnings)","2012","Male","Financial, insurance and real estate activities (K,L)","15 years and over","%","-1.9"
"Annual Change (Median Annual Earnings)","2012","Male","Professional, scientific and technical activities (M)","15 years and over","%","-2.1"
"Annual Change (Median Annual Earnings)","2012","Male","Administrative and support service activities (N)","15 years and over","%","0"
"Annual Change (Median Annual Earnings)","2012","Male","Public administration and defence; compulsory social security (O)","15 years and over","%","-0.4"
"Annual Change (Median Annual Earnings)","2012","Male","Education (P)","15 years and over","%","-1.6"
"Annual Change (Median Annual Earnings)","2012","Male","Human health and social work activities (Q)","15 years and over","%","-3.2"
"Annual Change (Median Annual Earnings)","2012","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","%","-2.5"
"Annual Change (Median Annual Earnings)","2012","Male","All NACE economic sectors","15 years and over","%","-1.7"
"Annual Change (Median Annual Earnings)","2012","Female","Industry (B to E)","15 years and over","%","0.9"
"Annual Change (Median Annual Earnings)","2012","Female","Construction (F)","15 years and over","%","-2.8"
"Annual Change (Median Annual Earnings)","2012","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","%","-0.1"
